order_date,item_code,quality
2024-03-28,T303102005,57
2024-05-04,T302105002,163
2022-09-14,V02EG132,1
2021-11-01,V01MP195,29
2023-11-25,T302204002,2
2024-04-24,OH048,28
2021-11-05,V01EB109,53
2024-05-30,T302201014,2559
2024-02-01,T4011001,14
2021-10-05,EH094,31
2021-10-19,V02EG135,50
2024-02-21,T302201018,4297
2022-02-17,EH121,2
2024-05-10,T302203002,372
2024-06-01,T302201017,19
2024-03-11,VG24X04,5
2022-04-19,EH085,2
2021-11-08,EH105,34
2021-12-24,EH084,7
2022-05-24,VT04734,120
2021-06-23,EH085,3
2024-01-26,T302101006,334
2023-11-30,VT04725,20
2023-11-30,T302202004,63
2021-08-02,EH094,69
2023-10-30,T302204002,37
2022-01-25,EH084,45
2023-09-08,T302101006,116
2023-09-08,T303102005,42
2024-04-10,T302201017,737
2024-06-29,T302202003,1
2023-06-10,V01MP197,1
2021-10-31,V01MP194,1
2022-02-09,VT03413,51
2024-05-08,T302204001,198
2021-12-23,EH094,185
2023-12-24,T303102005,36
2024-04-22,T3044004,265
2021-09-07,VT04786,223
2021-10-18,EH121,72
2023-12-15,E0111088,52
2023-12-21,T3044004,33
2023-10-01,T302201014,248
2024-05-13,T302204001,241
2021-08-18,EH085,15
2024-04-26,T302201013,10
2021-12-10,OH072,16
2022-10-25,VT04787,7
2023-12-13,T4011002,25
2024-06-18,T302201014,4396
2023-04-21,V01MP195,8
2024-02-20,T302204002,51
2021-10-21,OH072,358
2024-01-13,T302201015,1
2024-03-27,T3044004,18
2022-05-05,EH105,22
2024-01-31,T302201013,50
2021-11-05,V02EG051,45
2024-05-30,T3044004,257
2022-11-28,VT80034,160
2023-07-07,V01MP197,11
2021-10-05,V01MP195,26
2021-05-20,EH094,9
2021-05-28,OH058,60
2024-03-12,T302204001,207
2023-09-09,T302101006,56
2022-05-07,VT04808,24
2021-11-08,OH072,377
2023-05-25,V01MP193,1
2023-08-14,EH112,20
2023-04-23,V01MP193,1
2022-12-14,VT80047,150
2024-05-03,T3044004,150
2021-06-03,EH105,36
2023-09-12,T302201014,3958
2023-07-17,EH112,60
2021-07-01,EH084,2
2022-02-11,EH020,100
2024-03-14,T302201014,2668
2024-02-23,T303102005,107
2024-01-21,VC24XML,287
2024-01-21,T302202005,2
2023-10-14,T303102005,3
2021-05-13,EH073,5
2023-09-13,V01MP195,2
2024-05-29,T302204002,117
2022-06-28,OH072,28
2021-06-05,EH047,46
2024-06-21,T303102005,34
2024-02-16,T302204001,109
2024-05-27,T302101006,96
2021-12-04,V01EB059,50
2023-12-19,T302202003,25
2022-08-29,EH105,11
2022-10-18,VT80094,177
2024-04-04,T302204001,108
2021-10-24,V01MP198,25
2024-02-05,T4011002,5
2021-08-13,VT01404,12
2022-09-12,VT00650,3
2021-07-23,VT01404,4
2021-07-19,VT01404,16
2024-03-15,T4011001,90
2021-11-12,VT00653,100
2024-05-04,T303102005,17
2024-06-27,T302204001,192
2021-12-12,V01MP197,28
2024-04-01,T4011001,52
2024-04-01,T302204001,184
2024-03-05,T4011001,46
2021-12-17,VT04765,15
2024-06-14,EH112,6
2021-07-16,OH058,680
2021-10-05,V02EG128,8
2021-10-19,VT04708,30
2023-12-29,T302201017,457
2022-06-08,V01EK026,20
2022-06-14,EH105,134
2022-06-27,EH105,26
2024-01-03,T4021002,7
2023-10-26,T302201014,12383
2023-06-23,VT03132,97
2024-04-25,T303102005,84
2022-11-09,V01MP198,208
2022-08-16,VT01906,3
2023-10-23,V01MP195,1
2022-03-02,EH084,66
2021-10-20,V01MP194,48
2023-04-01,V01MP195,4
2022-12-02,V01MP198,7
2022-12-27,VT80055,20
2023-12-05,T302202004,17
2024-06-10,T302204002,45
2021-06-27,OH072,13
2021-10-14,V01MP197,84
2023-08-06,T303102005,19
2021-07-14,OH058,192
2021-05-21,EH047,15
2023-08-28,VT02613,3
2021-09-15,VT04786,194
2024-04-18,T303102005,6
2022-09-20,VT03311,8
2021-12-05,V01MP195,4
2024-05-13,T302201018,1660
2022-12-12,VT80053,120
2022-10-20,VT04787,2
2022-02-21,VT04709,30
2024-05-20,T4021002,31
2021-08-15,OH058,20
2024-03-06,T302105002,86
2024-02-28,VG24X04,14
2023-12-25,T4011003,22
2021-12-31,EH085,3
2023-10-17,OH048,28
2023-10-17,V01MP197,10
2021-07-06,EH083,2
2022-02-15,EH119,6
2024-06-27,T302203002,75
2024-05-31,T302201014,4996
2024-01-15,T302203002,520
2021-08-24,EH094,24
2022-12-20,VT80054,5
2024-05-16,T302201015,65
2022-11-02,VT80076,10
2022-03-31,EH119,2
2022-08-23,V01EB110,145
2024-01-08,EH112,30
2023-10-02,T302202005,26
2021-06-04,EH094,27
2021-06-04,EH119,20
2024-04-10,T302201014,1720
2021-08-27,EH121,12
2021-09-17,EH084,10
2024-05-07,T303102005,58
2021-07-27,EH119,5
2022-12-27,V01MP194,10
2022-12-06,VT80054,20
2024-03-20,T302101006,183
2021-08-11,EH094,44
2024-04-02,T302202004,12
2022-06-20,EH094,5
2021-11-29,EH094,36
2021-11-17,EH084,28
2024-03-19,T302201015,188
2024-03-19,T4011001,20
2022-12-28,VT80114,27
2024-04-09,T302201014,4033
2024-01-16,VG24X04,87
2024-07-01,T302105002,11
2024-04-11,T302202004,20
2023-10-05,T302201018,4685
2023-07-14,T302201013,40
2022-10-18,VT04787,5
2022-10-25,V01MP198,13
2021-10-24,V01MP193,16
2022-11-25,VT80024,1200
2022-04-28,EH105,17
2023-06-07,EH112,17
2021-05-03,EH083,8
2021-12-25,V01MP195,5
2021-05-08,EH020,24
2023-11-18,T303102005,5
2022-08-17,VT80054,2
2022-06-15,EH105,39
2024-01-29,T302201015,373
2024-03-12,T303102005,72
2021-11-04,V01MP194,3
2024-05-10,T302201013,8
2022-06-27,EH098,1
2023-09-09,T302204002,13
2024-05-21,T303102005,32
2022-01-26,OH072,1
2022-10-27,V01MP196,9
2021-05-18,EH073,10
2022-03-02,OH072,10
2023-10-30,T302202003,10
2023-10-19,T302101006,361
2021-07-01,EH020,144
2024-06-23,T302204001,12
2021-08-29,VT04786,28
2024-05-07,T302201015,62
2024-03-14,T302105002,123
2021-12-28,OH058,7
2024-02-23,T302101006,206
2023-12-26,T302201013,10
2023-10-21,V3MMR,5
2023-10-14,T4011002,7
2022-05-27,OH072,10
2023-11-08,T302202005,25
2024-05-28,T302202004,2
2021-07-14,EH121,36
2021-05-21,EH121,60
2024-05-14,T4011001,21
2021-09-20,VT04787,46
2022-08-31,EH105,13
2024-02-27,T302105002,160
2024-06-03,T3044004,87
2023-12-21,T302202004,21
2024-06-26,T302202005,17
2021-05-11,EH085,25
2021-10-13,EH121,116
2024-01-02,T302202003,15
2024-01-02,T302201018,2173
2022-10-18,V01MP198,33
2024-05-20,T302202004,11
2021-09-22,OH058,38
2022-08-30,EH105,34
2024-01-23,VC24XML,1368
2024-01-23,T302201015,74
2024-04-21,T302101006,17
2023-04-14,V01MP195,11
2024-06-14,T4021002,2
2021-10-05,VT00653,90
2021-05-19,EH119,9
2022-12-20,VT03313,1
2023-07-28,T302101005,319
2024-02-02,T302202004,3
2023-11-23,T302105002,301
2021-10-01,EH094,30
2021-12-27,VT04618,10
2023-09-19,T302201014,7011
2024-05-16,T4011001,72
2024-06-25,T302201018,2723
2023-09-20,VT80142,1
2024-01-18,T302201014,8222
2022-11-01,V01MP193,111
2022-07-21,EH105,47
2023-07-12,T303102005,227
2024-04-10,T302202005,15
2024-03-07,T302201014,3425
2024-06-04,T302201017,802
2022-12-27,V01EB065,70
2021-08-11,EH047,140
2024-02-23,T4011003,2
2024-06-10,T303102005,33
2021-09-27,EH105,95
2021-07-26,EH084,20
2023-11-21,VT80176,1
2024-02-17,T4011001,9
2024-07-03,T302203002,70
2021-12-20,EH119,4
2023-03-16,VT04709,385
2024-02-18,T302202004,7
2024-01-11,T4021002,36
2024-03-01,T4021002,16
2021-10-12,V01MP193,60
2023-12-15,VT80123,66
2021-07-13,EH047,58
2021-07-21,EH121,75
2022-12-12,VT80036,600
2024-04-13,T302203002,1146
2023-02-27,EH112,10
2021-08-13,EH085,22
2023-10-17,T302201013,8
2022-02-19,VT04707,70
2022-05-12,V02EG109,10
2021-12-09,V01EB110,27
2024-01-15,T3044004,76
2024-02-19,T302202003,50
2023-11-24,T3044004,33
2021-10-19,VT04710,10
2021-08-28,EH084,36
2021-08-22,EH105,11
2024-05-11,T302101005,40
2024-01-03,T302101005,307
2023-12-11,V01MP197,2
2021-09-08,EH105,17
2024-02-02,VC24XML,546
2021-10-01,EH083,1
2022-11-09,VT80088,6
2022-05-24,OH072,10
2021-06-23,OH038,20
2021-05-09,EH085,43
2024-03-22,OH048,32
2024-06-05,T302105003,8
2024-01-17,T303102005,140
2023-12-17,T302201017,2
2024-01-26,T4011001,136
2023-11-30,T302201017,543
2022-01-18,EH119,7
2022-04-07,EH085,15
2024-03-26,T302105002,103
2021-11-22,EH118,1
2024-04-02,T302202003,10
2023-11-12,T302204001,61
2024-02-29,T4011001,207
2021-09-28,OH058,143
2021-11-27,VT04707,50
2024-07-03,T303102005,106
2021-12-20,EH118,1
2024-01-10,OH048,20
2024-03-21,T4021002,8
2023-10-31,V3MMR,20
2024-05-14,T302201013,27
2023-09-11,V01MP193,5
2024-06-13,T302101006,466
2021-11-07,OH072,45
2022-05-28,EH084,5
2024-06-26,T3044004,374
2021-09-29,EH020,76
2024-05-02,T302201017,321
2021-12-10,EH084,22
2023-06-12,V01MP193,7
2024-01-04,OH048,2
2024-04-04,VG24X04,9
2024-05-24,T302204004,99
2023-08-02,T302101005,776
2022-04-21,EH083,3
2021-06-12,EH047,3
2023-11-24,T302202004,8
2022-10-31,V01MP196,8
2021-10-05,V01EB059,40
2023-12-29,T302201015,129
2024-01-29,T302101006,706
2021-05-19,OH072,234
2024-03-11,T302201018,3079
2023-05-05,V01MP195,6
2021-06-20,V01MP196,3
2024-03-18,T302204004,202
2021-10-03,EH084,1
2022-11-09,VT80097,22
2021-06-14,EH085,1
2021-08-02,EH121,48
2021-10-20,EH084,7
2024-03-30,T4011002,27
2021-08-05,EH112,20
2024-03-20,VT80307,31
2023-11-02,VT80212,40
2023-11-03,T302201014,1464
2024-01-21,E0111088,16
2024-03-23,VT80307,3
2023-12-01,T3044004,97
2023-11-21,VT80212,92
2023-11-21,T302201014,3386
2021-07-07,VT01404,26
2021-08-23,EH112,20
2023-11-20,T302101005,111
2021-10-14,OH072,146
2023-10-15,T302201015,80
2024-01-10,T302201013,23
2023-07-24,T302201013,25
2021-07-30,EH084,5
2021-05-21,OH072,266
2023-10-31,EH112,5
2023-08-17,EH112,8
2023-07-13,T302101006,17
2024-01-16,T302202004,37
2022-10-09,VT04787,4
2024-07-01,T302201014,1682
2023-10-24,E0111088,36
2023-12-19,T302201014,6280
2024-03-29,T302204001,326
2022-02-21,V02EG063,16
2023-07-31,T303102005,33
2024-05-02,T302105002,65
2022-12-07,V01MP198,13
2024-02-28,T302202003,74
2021-11-26,EH105,34
2023-08-02,V01MP193,11
2023-09-07,T302204002,286
2024-05-04,EH112,20
2024-06-11,T3044004,177
2024-04-01,T302105002,180
2022-12-23,EH112,10
2023-07-20,T302101006,159
2024-04-24,T302101006,229
2024-07-08,T302201015,200
2024-02-01,T302101006,173
2022-05-18,OH072,10
2024-02-21,T302204001,382
2023-07-28,V01MP197,4
2021-12-03,V01MP198,4
2024-01-12,T302101006,124
2021-12-27,VT00654,15
2024-06-08,T3044004,29
2023-09-19,EH112,10
2024-01-08,T302201015,213
2022-12-14,VT80035,300
2021-08-21,OH072,151
2021-08-20,EH112,5
2024-06-23,T302201014,665
2024-03-26,T302204001,320
2023-12-27,T302202004,19
2021-08-05,EH105,18
2024-06-04,T302204002,3
2021-06-30,EH121,528
2021-11-30,EH105,39
2024-03-20,VG24X03,9
2021-11-29,OH072,223
2022-10-11,EH105,11
2021-09-18,VT04787,24
2021-05-31,EH121,24
2021-10-14,OH058,429
2021-11-25,EH085,42
2023-10-31,VT80009,10
2021-10-23,OH072,39
2024-04-08,T302201017,637
2024-02-16,T303102005,43
2024-06-20,T302203002,280
2023-12-21,V01MP197,3
2023-09-11,T302201013,10
2024-04-20,T302203002,41
2022-09-13,V03MK042,700
2024-06-17,T302202004,8
2021-12-14,VT04763,26
2023-10-13,V01MP195,2
2023-09-16,T302201013,5
2023-07-14,V01MP193,10
2024-04-03,T302203002,42
2024-07-07,T302203002,10
2022-10-20,VT80098,52
2021-09-14,EH105,213
2022-10-21,V01MP194,6
2021-08-15,EH085,13
2024-05-23,EH105,4
2021-08-13,EH047,105
2022-11-30,VT03313,2
2023-08-01,T303102005,32
2023-09-27,V01MP193,3
2021-11-01,EH105,63
2023-10-16,T302105002,20
2021-06-01,EH020,95
2024-01-19,T302101006,316
2022-09-30,VT80037,160
2024-03-08,OH048,3
2024-01-03,T302204001,205
2022-12-20,VT80030,100
2023-12-28,T4011002,5
2024-06-30,T302204004,6
2022-08-03,VT03313,8
2024-01-12,T302101005,259
2022-05-24,VT04708,60
2022-11-10,VT80078,3
2024-06-05,T4011001,23
2023-09-20,OH048,88
2023-09-20,T302204001,48
2022-10-06,VT80037,70
2022-12-14,VT03312,1
2023-03-22,EH112,3
2021-10-09,V01MP197,42
2022-09-09,VT80035,200
2024-01-05,OH048,1
2021-10-08,V01MP196,14
2024-06-04,T302204001,164
2021-05-12,OH032,3
2021-09-28,VT04787,47
2024-03-25,T4011002,38
2024-01-10,T302201014,3769
2022-04-14,EH085,5
2022-03-15,V01EB110,150
2024-04-05,T302101006,45
2023-12-21,T302204001,269
2021-11-13,V01MP194,1
2022-12-19,VT80050,50
2024-04-17,T302204002,68
2024-06-28,T302105002,14
2022-05-04,VT00651,20
2021-08-03,VT01404,8
2021-05-06,OH072,482
2024-02-24,T302201013,10
2023-12-04,T302201014,5366
2022-11-25,VT80103,4
2023-08-03,V01MP195,123
2024-03-04,T4011001,30
2021-07-05,V04VP021,14
2024-01-22,T302201018,4816
2023-11-18,T3044004,66
2024-06-11,T302204004,102
2022-10-12,VT80028,400
2022-10-12,VT80035,200
2022-12-23,VT03311,4
2024-01-14,T302201013,8
2021-12-17,EH094,48
2024-06-16,T302201017,255
2024-06-16,T302201013,6
2021-11-05,OH072,179
2021-10-19,EH098,3
2023-10-18,T302101005,291
2024-03-08,T4021002,40
2023-10-28,T302201015,140
2022-02-23,EH119,66
2023-08-14,T302201013,17
2022-12-14,VT80033,100
2024-05-06,T302204001,273
2022-11-04,V01MP194,66
2024-04-19,T302202005,21
2021-08-20,OH072,389
2023-10-12,V01MP193,2
2021-06-10,V01MP198,13
2021-11-24,V01MP195,16
2022-10-08,VT80035,216
2023-08-18,T302101005,239
2023-03-16,VT04860,20
2024-06-12,T302201018,3399
2024-04-09,T302105002,60
2024-04-08,T302202004,5
2021-05-24,EH094,26
2024-01-16,OH048,50
2024-04-18,T302201014,655
2024-05-09,T4011003,1
2021-12-21,V01MP196,3
2021-12-04,EH105,17
2023-04-10,V01MP193,9
2024-05-25,OH048,52
2024-04-26,T302201018,3946
2021-09-14,V02EG063,22
2021-09-09,OH072,489
2023-12-25,T302202005,79
2023-04-08,V01MP193,3
2021-11-19,V01MP195,15
2024-03-28,T4011002,33
2021-11-12,V01EK128,2
2024-04-01,T302202005,15
2023-10-10,T302202004,58
2024-01-14,T3044004,4
2023-10-08,T302101006,36
2022-08-25,EH112,3
2024-02-21,T4011003,16
2023-11-27,T4021002,36
2024-03-11,EH112,10
2024-01-03,T302101006,217
2022-12-20,EH112,20
2023-12-28,T302105002,4
2021-07-18,EH119,1
2024-03-17,T302201018,283
2023-12-08,T302202004,3
2022-01-28,EH085,3
2021-06-26,EH020,18
2024-05-06,T302101006,193
2023-10-30,T302204001,317
2021-11-20,V01MP193,1
2021-11-20,EH105,22
2021-10-20,EH119,5
2021-10-26,EH083,17
2023-08-25,V01MP197,21
2024-06-23,T4011001,4
2024-07-05,T302101006,59
2021-06-30,EH047,45
2023-09-14,T302204001,112
2022-12-27,VT80023,150
2023-11-12,T302201018,63
2024-06-10,T302201017,595
2021-05-12,EH047,260
2024-02-17,T302101005,41
2021-07-28,OH058,320
2022-10-08,VT04787,6
2024-01-10,T302204001,177
2021-09-23,VT04787,44
2024-05-14,T302202005,15
2024-03-01,T302202003,1
2023-09-28,T302201014,3510
2021-05-23,OH072,13
2021-08-16,EH084,72
2021-09-20,EH119,7
2024-06-20,T302101005,442
2021-12-21,EH084,10
2023-11-09,T302101006,194
2024-05-13,VT80291,2
2024-01-02,T3044004,24
2024-05-20,T302201018,2578
2021-12-06,EH119,5
2021-12-06,EH085,27
2021-09-09,VT04787,39
2024-04-27,VT80289,6
2024-02-05,T302105002,15
2023-10-17,V3MMR,26
2021-12-08,V01MP194,6
2022-04-28,EH112,10
2021-05-14,EH121,46
2021-12-02,VT04754,2
2023-10-10,T302201018,8197
2021-11-05,OH058,18
2021-11-05,V01EB059,280
2021-10-05,V02EG069,105
2023-09-26,T302101005,826
2022-03-11,EH084,15
2024-04-29,T303102005,120
2023-12-23,T302203002,160
2023-02-21,EH112,3
2023-09-25,T302201014,6742
2023-12-08,T302101005,56
2024-03-09,T302101006,40
2024-05-15,T4011001,59
2024-05-06,T3044004,201
2021-05-18,OH058,120
2021-10-20,EH020,574
2021-06-04,OH058,337
2022-01-25,EH083,2
2022-10-16,VT80098,6
2021-11-09,EH119,5
2024-01-05,T302101006,159
2022-02-14,VT04796,1
2023-12-27,VT80303,1
2022-02-11,EH112,10
2024-03-14,E0111088,15
2023-11-02,T302201015,47
2021-06-28,EH119,10
2021-06-28,EH083,5
2023-11-15,T302202004,66
2021-10-29,EH094,20
2024-07-03,T302201015,106
2021-05-04,EH020,1006
2021-07-04,OH072,26
2024-01-11,T302202004,14
2022-05-03,EH105,17
2023-10-06,T302202004,35
2021-11-14,V01MP195,5
2023-07-13,T303102005,47
2024-06-03,T302204002,3
2024-07-01,T302203003,11
2022-12-19,VT80049,62
2021-09-29,OH072,245
2021-11-15,V01MP193,53
2021-08-18,EH094,25
2021-11-10,V01MP193,12
2024-02-26,T302201013,32
2024-05-02,T302202003,30
2024-05-23,T4021002,11
2021-11-28,OH072,52
2022-11-25,V01MP198,117
2023-08-02,V01MP195,8
2021-12-31,EH084,12
2023-11-28,T302202003,43
2021-05-14,EH105,19
2021-05-26,OH030,6
2023-12-18,T302202004,18
2021-11-01,EH020,38
2021-08-19,EH047,9
2021-12-09,EH121,120
2023-11-25,OH048,10
2024-04-24,T302203002,162
2021-10-21,V01MP198,289
2021-10-21,V01MP197,104
2021-07-15,OH058,520
2024-06-16,T303102005,1
2022-10-05,V01MP196,5
2021-05-19,EH121,5
2022-05-09,OH072,10
2024-03-18,VT80098,20
2024-03-18,T302201014,8246
2021-12-27,V01EB042,146
2023-06-06,V01MP195,3
2024-05-16,T302202005,1
2023-11-30,T302202005,81
2024-04-07,T3044004,6
2021-08-02,EH084,5
2023-12-27,T302202005,60
2024-01-27,T303102005,34
2024-01-25,T4011002,12
2024-04-02,T302202005,17
2023-12-26,T302204001,106
2023-12-01,E0111088,57
2021-07-28,EH020,212
2024-05-28,T302202005,11
2022-10-26,V02EG064,10
2022-02-10,EH112,10
2023-05-26,V01MP195,5
2021-06-06,V01MP194,1
2024-06-12,T302101006,101
2022-06-28,EH085,10
2024-04-08,OH048,8
2023-10-06,T302105002,52
2024-02-16,T302105002,44
2024-05-27,T302204004,178
2023-11-10,T302105002,5
2021-11-18,EH121,60
2024-06-26,T4021002,57
2023-09-05,EH112,50
2023-11-22,T302202005,208
2023-12-12,T302101006,317
2022-02-21,VT04703,30
2023-06-09,VT03132,240
2021-05-07,EH020,45
2022-03-08,OH072,10
2021-09-09,EH112,10
2022-09-12,V02EG063,40
2023-12-18,T302201017,918
2021-12-12,V01MP198,3
2023-10-10,T302204001,245
2021-11-02,EH020,7
2021-11-02,EH105,41
2022-11-28,VT80024,1220
2021-07-16,EH047,54
2024-06-24,T302203002,200
2023-10-27,T302203002,228
2022-06-22,VT80032,20
2022-08-01,EH105,108
2021-11-04,EH085,10
2022-12-16,VT80052,5
2023-10-03,T302201018,8011
2023-12-28,T4021002,26
2023-06-23,V01MP195,4
2022-01-20,EH084,45
2021-10-03,OH038,10
2023-08-07,VT02613,139
2024-03-22,T302204004,102
2024-01-18,T302202004,32
2023-10-02,T302201017,5
2021-06-26,OH072,56
2022-01-10,EH094,35
2024-05-03,VT80294,5
2024-04-19,EH112,2
2024-04-19,T302201017,278
2023-09-12,V01MP193,3
2023-08-30,T302101005,186
2021-06-10,EH020,88
2024-03-23,T3044004,1
2022-04-06,EH020,8
2024-05-28,T302201015,100
2024-03-19,T3044004,38
2024-03-21,OH048,25
2024-03-31,VC24XML,31
2024-05-27,T3044004,255
2021-08-18,EH047,98
2023-10-22,T302201013,1
2024-04-26,T302201015,93
2024-02-26,T302204001,399
2023-06-09,T303102005,38
2024-02-28,T4011002,9
2021-11-26,OH058,10
2023-06-19,V01MP193,1
2022-09-14,V01EB059,45
2022-04-21,EH119,10
2023-05-30,V01MP197,10
2021-10-21,EH084,4
2021-09-11,OH072,71
2024-04-29,T302204002,11
2024-01-03,T4011002,12
2023-10-03,T302105002,37
2024-01-28,T302101006,27
2022-02-23,EH098,2
2021-09-30,V01MP197,21
2021-08-31,OH058,20
2022-01-26,EH098,2
2024-06-05,T302105002,7
2023-08-14,VT80176,121
2023-11-30,T302201015,117
2024-01-18,T302201017,1073
2021-06-03,EH085,5
2024-06-09,T302201014,386
2023-07-17,V01MP197,10
2023-06-03,V01MP197,1
2022-08-27,VT80063,100
2021-10-02,V01MP194,17
2022-02-27,EH084,72
2022-09-23,VT03313,2
2024-03-14,T302203002,110
2022-12-27,VT80117,200
2021-11-30,V01MP194,5
2022-11-21,VT80041,160
2021-12-28,V01MP194,7
2023-06-22,V01MP193,2
2024-06-06,T302204001,42
2024-06-10,T302204001,473
2023-12-26,T3044004,62
2023-10-29,T302204002,13
2021-12-20,V01MP197,182
2021-11-25,EH084,33
2024-05-14,T302202004,10
2023-11-17,VT80085,4
2021-11-14,V01MP198,5
2024-02-27,OH048,15
2024-07-01,T4021002,3
2023-11-09,T302201017,337
2021-12-14,EH085,10
2024-02-22,T302202004,29
2023-09-05,T302204002,26
2022-03-16,VT04707,80
2022-02-21,V02EG072,10
2022-10-21,VT80086,2
2023-09-06,T302101005,246
2023-12-13,T3044004,113
2021-12-31,V02EG064,20
2021-09-21,EH121,72
2021-07-23,EH020,72
2022-06-13,VT80056,3
2021-05-29,EH098,1
2021-08-06,EH083,5
2023-10-25,V5HMR,9
2024-07-08,T302201014,3602
2021-10-05,V01EK026,60
2021-10-19,V01EB059,10
2021-08-24,VT04786,105
2021-11-04,EH084,35
2023-10-26,T302204001,223
2022-12-21,V01MP197,2
2024-01-12,VT80252,3
2022-10-13,VT80086,5
2023-09-20,T303102005,99
2024-05-03,VT04913,5
2023-11-07,VT80212,77
2024-06-02,T303102005,12
2023-10-12,E0111088,81
2024-01-05,T302201013,10
2024-03-07,T4011002,13
2021-11-11,V02EG064,20
2021-11-11,V01EB087,10
2023-09-14,T302101005,391
2021-11-22,V01MP193,50
2024-01-25,T302204001,269
